account_id,client_id,tipo_cuenta,saldo_actual,moneda,estado,fecha_apertura,created_at_dt
a89bca3a-b47f-4982-a0bf-29d939904db7,60b6414b-688b-401d-a3c4-4a3e80ae8248,Corriente,32805.9,PEN,ACTIVA,2025-07-11 07:35:05,2025-07-23 16:56:05
28dd3a91-14f4-4c99-865c-e3065a1bdd98,3e0f70fa-1c5a-4d83-9e96-25c353fa6a2b,Corriente,30056.4,USD,ACTIVA,2025-04-08 11:39:31,2025-04-19 03:52:31
601d6bda-a2a8-4e5a-991f-c31acdca883d,f09b25a6-e5ae-481a-8478-ab7db83ebe7b,Corriente,38054.44,EUR,ACTIVA,2023-12-07 09:04:42,2023-12-08 05:11:42
20f84879-a68f-4f30-9722-1b1b22a3c2d8,40d66120-d47a-45da-aecc-0a672f24e94f,Ahorros,28765.85,USD,BLOQUEADA,2023-04-20 20:50:48,2023-05-01 13:57:48
cc61d5c6-8e8d-44a6-bd58-badf34febce8,14a6dfb2-2e51-4752-a33c-faa736037d56,Ahorros,40312.17,EUR,ACTIVA,2024-02-16 17:42:16,2024-03-10 00:50:16
5af5ad48-eb3d-42e8-8ddf-8ad7f5b8ebbd,1dcc2de3-baa2-416f-b502-4bddadc26901,Ahorros,4266.58,USD,ACTIVA,2025-02-14 08:07:18,2025-02-18 11:12:18
92a9202d-90fe-4c9c-b269-9f43ae465f5c,963b272d-21ec-4465-88c3-7a91116dd1c0,Sueldo,39516.34,USD,BLOQUEADA,2024-05-19 23:39:29,2024-06-10 08:43:29
d66840cc-ea09-40f3-b66d-c0bb48577459,a8449edf-87e7-48c6-8225-539662208d2e,Ahorros,47049.36,EUR,BLOQUEADA,2025-10-02 01:15:45,2025-10-19 23:57:45
def31a07-2274-4185-8814-6f419dc59c2f,45b37dbc-ddfd-4336-bc06-9783be03f1a8,Ahorros,43476.29,USD,ACTIVA,2025-09-20 05:26:20,2025-10-17 00:23:20
5cf04d19-5bb5-4a43-90b7-091cf5bf51d0,a1b53db4-cd6c-40a8-848b-a10766cfe678,Ahorros,35811.79,PEN,ACTIVA,2025-09-23 08:02:48,2025-10-13 13:36:48
cfe03b84-49f2-48d9-b40a-b4c0bbf72729,d7e68669-f441-4146-9780-68f1decbd9f8,Sueldo,17401.98,USD,ACTIVA,2024-04-08 03:34:58,2024-05-06 19:40:58
f34fd6a9-adec-4eb7-a5c9-c4c8aba402e8,62fd6cbc-8952-4812-88ae-b674d09b0410,Ahorros,19852.45,USD,ACTIVA,2024-11-18 04:23:04,2024-12-05 16:11:04
f4a39c4c-6b01-456d-bf34-b622c22a1d5a,1005aed9-2ead-4724-9267-152eeda4b26f,Corriente,8229.76,EUR,ACTIVA,2024-08-20 08:46:18,2024-08-22 20:13:18
fdd2273d-913b-47c6-92e1-ab4dd1f18a15,88dccd12-9627-43c5-8859-5c9323e04522,Corriente,46935.93,PEN,ACTIVA,2023-10-10 15:46:47,2023-10-18 15:41:47
b29e4e36-a767-46e6-a19f-34d58acea3de,dcc52d92-349a-4299-b1f5-8008cff92807,Corriente,12129.93,EUR,ACTIVA,2025-02-11 07:03:04,2025-03-13 08:54:04
c17e5e01-2c3d-4981-bd58-6de7515e1361,b3ee2722-1147-48ca-ad30-b0736dd3a7ac,Sueldo,19598.93,EUR,ACTIVA,2024-05-27 14:25:33,2024-06-07 19:27:33
b3c89ff3-99a5-450a-8e53-0a0f463bbcb6,6f8fbccf-728c-4741-a8a5-93f11e11ba0b,Corriente,38824.83,EUR,ACTIVA,2025-09-29 20:25:21,2025-10-17 02:54:21
8d416cc5-638b-4a31-9ee4-57a267892b96,e986635d-a777-4baa-b520-a1e8cdd98fb2,Corriente,42657.15,USD,BLOQUEADA,2025-10-30 15:11:51,2025-11-05 20:44:51
e3ef79b5-c6fb-49e4-ae3a-6b08f8269b9b,c450e7b1-3990-4e39-8e09-a6097521c149,Sueldo,44147.87,EUR,ACTIVA,2024-01-12 09:35:09,2024-01-14 12:52:09
700062b1-a361-403f-a7a0-34633fe93afc,b6910f0a-17bc-4b09-9993-beeac7f42bca,Sueldo,30653.76,USD,BLOQUEADA,2023-04-06 04:41:35,2023-05-01 22:42:35
67c1c452-5046-4fec-86ff-e1207a92a3da,9fb709bf-bb92-4716-b616-166c9a62a10a,Ahorros,43855.01,USD,ACTIVA,2024-10-24 14:20:11,2024-11-11 03:28:11
